g0a,g0b,g1a,g1b,h0a,h0b,h1a,h1b
-0.004556895628,0.003253142764,-0.003253142764,-0.004556895628,0.003253142764,-0.004556895628,-0.004556895628,-0.003253142764
-0.005439475937,-0.003883211999,-0.003883211999,0.005439475937,-0.003883211999,-0.005439475937,0.005439475937,-0.003883211999
0.01702522388,0.03466034684,-0.03466034684,0.01702522388,0.03466034684,0.01702522388,0.01702522388,-0.03466034684
0.02382538479,-0.03887280127,-0.03887280127,-0.02382538479,-0.03887280127,0.02382538479,-0.02382538479,-0.03887280127
-0.1067118047,-0.1172038877,0.1172038877,-0.1067118047,-0.1172038877,-0.1067118047,-0.1067118047,0.1172038877
0.01186609203,0.2752953847,0.2752953847,-0.01186609203,0.2752953847,0.01186609203,-0.01186609203,0.2752953847
0.5688104207,0.7561456439,-0.7561456439,0.5688104207,0.7561456439,0.5688104207,0.5688104207,-0.7561456439
0.7561456439,0.5688104207,0.5688104207,-0.7561456439,0.5688104207,0.7561456439,-0.7561456439,0.5688104207
0.2752953847,0.01186609203,-0.01186609203,0.2752953847,0.01186609203,0.2752953847,0.2752953847,-0.01186609203
-0.1172038877,-0.1067118047,-0.1067118047,0.1172038877,-0.1067118047,-0.1172038877,0.1172038877,-0.1067118047
-0.03887280127,0.02382538479,-0.02382538479,-0.03887280127,0.02382538479,-0.03887280127,-0.03887280127,-0.02382538479
0.03466034684,0.01702522388,0.01702522388,-0.03466034684,0.01702522388,0.03466034684,-0.03466034684,0.01702522388
-0.003883211999,-0.00543947593,0.005439475937,-0.003883211999,-0.005439475937,-0.003883211999,-0.003883211999,0.005439475937
0.003253142764,-0.004556895628,-0.004556895628,-0.003253142764,-0.004556895628,0.003253142764,-0.003253142764,-0.004556895628
